LOCATION:  P4
TEST TYPE:  All
DATES:   1/01/15 to 11/10/15
Date ,Skid ID ,Skid ID2 ,Line ,Product ,Lot Code ,Test Type ,Prim. Resin ,% ,Sec. Resin ,% ,Additive 1 ,% ,Additive 2 ,% ,Additive 3 ,% ,Array ,Dart Spec ,Dart Offline ,Dart Ratio ,Tear Spec ,MD Tear Offline ,MD Tear Ratio ,TD Tear Offline ,TD Tear Ratio ,Opacity ,Gauge Spec ,Min ,Avg. ,Range ,Low ,Gauge CoV ,Gauge Retest ,QA Tag Number1 ,QA Tag Number2 ,Comment ,Dart 1 Day ,Dart 2 Weeks ,Dart 3 Months ,Tear 1 Day ,Tear 2 Weeks ,Tear 3 Months
2015/01/01 , 0019622761 , 0019622760 , 436  , DSRS913W-1      , 001151     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0442 ,  1.201 , 00300 , 00552 ,  1.840 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .810 ,    .340 ,    .660 ,      ,         ,         ,         , S19622761-60              ,      ,      ,      ,       ,       ,
2015/01/01 , 0019622759 , 0019622758 , 436  , DSRS913W-1      , 001151     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0496 ,  1.347 , 00300 , 00338 ,  1.126 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .880 ,    .260 ,    .760 ,      ,         ,         ,         , S19622759-58              ,      ,      ,      ,       ,       ,
2015/01/01 , 0019622756 , 0019622757 , 436  , DSRS913W-1      , 001153     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0484 ,  1.315 , 00300 , 00500 ,  1.666 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .880 ,    .320 ,    .720 ,      ,         ,         ,         , 19622756-57               ,      ,      ,      ,       ,       ,
2015/01/02 , 0019622751 , 0019622750 , 436  , DSRS913W-1      , 002151     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0622 ,  1.690 , 00300 , 00237 ,   .790 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .890 ,    .470 ,    .700 ,      ,         ,         ,         , ID.19622751-50            ,      ,      ,      ,       ,       ,
2015/01/02 , 0019628099 , 0019628098 , 436  , DSRS913W-1      , 002151     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0418 ,  1.135 , 00300 , 00523 ,  1.743 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .400 ,    .660 ,      ,         ,         ,         , ID.19628099-98            ,      ,      ,      ,       ,       ,
2015/01/02 , 0019628097 , 0019628096 , 436  , DSRS913W-1      , 002153     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0490 ,  1.331 , 00300 , 00461 ,  1.536 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .380 ,    .690 ,      ,         ,         ,         , 19628097-96               ,      ,      ,      ,       ,       ,
2015/01/03 , 0019628088 , 0019628087 , 436  , DSRS913W-1      , 003154     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0442 ,  1.201 , 00300 , 00487 ,  1.623 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .380 ,    .680 ,      ,         ,         ,         , 19628088-87               ,      ,      ,      ,       ,       ,
2015/01/03 , 0019628089 , 0019628090 , 436  , DSRS913W-1      , 003152     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0442 ,  1.201 , 00300 , 00488 ,  1.626 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .460 ,    .620 ,      ,         ,         ,         , ID 19628089-90            ,      ,      ,      ,       ,       ,
2015/01/04 , 0019628077 , 0019628076 , 436  , DSRS913W-1      , 004154     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0490 ,  1.331 , 00300 , 00403 ,  1.343 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .910 ,    .440 ,    .700 ,      ,         ,         ,         , 19628077-76               ,      ,      ,      ,       ,       ,
2015/01/04 , 0019628081 , 0019628082 , 436  , DSRS913W-1      , 004152     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0448 ,  1.217 , 00300 , 00462 ,  1.540 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .820 ,    .400 ,    .640 ,      ,         ,         ,         , ID 19628081-82            ,      ,      ,      ,       ,       ,
2015/01/05 , 0019637808 , 0019637809 , 436  , DSRS913W-1      , 005154     ,   , LT74107         ,  96.00 , A059            ,   3.00 , C012            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0544 ,  1.478 , 00300 , 00514 ,  1.713 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .820 ,    .390 ,    .650 ,      ,         ,         ,         , 19637808-09               ,      ,      ,      ,       ,       ,
2015/01/05 , 0019637813 , 0019637814 , 436  , DSRS913W-1      , 005152     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0460 ,  1.250 , 00300 , 00442 ,  1.473 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .410 ,    .650 ,      ,         ,         ,         , ID 19637813-14            ,      ,      ,      ,       ,       ,
